By,"Status (complete, in progress, out of range, not map)",root_url,collection,Notes,Thumb,IIIF,georeference,Georeference Annotation ,XYZ map tiles,Title,Alternate Title,Creator,Contributor,Artist,Author,Composer,Editor,Lyricist,Producer,Publisher,Coverage,Spatial Coverage,Temporal Coverage,Latitude,Longitude,Bounding Box,External Reference,Advisor,Committee Member,Degree Name,Degree Level,Department,University,Date,Date Created,Date Issued,Date Recorded,Date Submitted,Date Search,Description,Abstract,Award,Frequency,Sponsorship,Table of Contents,Subject,LCSH Subject,Language,Language-ISO,Format,Medium,Extent,Type,Source,Digital Collection,Physical Collection,Series/Location,Subcollection,Repository,Rights,Rights Note,Rights License,Rights URI,Rights DPLA,Identifier,Citation,DOI,ISBN,Permanent Identifier,Related Resource,Relation-Has Format Of,Relation-Has Part,Relation-Has Version,Relation-Is Format Of,Relation-Is Referenced By,Relation-Is Replaced By,Relation-Is Version Of,Relation-References,Relation-Replaces,Transcript,Path,File Name,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
Bronson,complete,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,,,https://archives.mountainscholar.org/iiif/2/p17393coll70:115/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:115/info.json,https://annotations.allmaps.org/images/8d8ce48a84dc8a0e,https://allmaps.xyz/images/8d8ce48a84dc8a0e/{z}/{x}/{y}@2x.png,specm_foco_1900_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"D, &gt;E. iG. K, B, ^xT. Â£ â–  1 â€” LOAN FT. COLLINS. COLORADO FORT COLLINS COLORADO &lt;JV D' rG K' Mil)** Dr. M ultra Dr. m *â€”* â–  WwlWrr Ar.. WrMvtaw Rd.. Westward Dr. O-Â» D-l O-Â»t 05 0-W ""â€¢II PrUrwa PI. . .. IMwrwea ft... . PUmPmRDt. &lt;A'â€” FORT COLLINS STREET GUIDE INDEX SXS-.7. â– ::: Oertaad TnU. Pm* Ct. I MorÂ«wÂ«* Or. MoaMaia Ar.... MMimRC.. tidtarn ft V.. Mjrtleft W. J MÂ»&lt;tÂ»a â€¢ t ... MaewjoDe !XV.'....- McKlday ... S3. Tl.MtortNrd Dr T imbat La, MaMrO. TOaaa Dr T*rÂ«y Peart* BL. r&gt;We ft. iMrarMy AÂ» . - &lt; Taft HUI R4. . Ta* HUI Ml ruaarae Dr Mm. Ct.. DHClwr. OH Mm . . m6m Eliaabro ft C.\ BUtaMAft W.. UM Or... KOu ft UftCU. Cl ft. Via* M. CoUlM Ct... ColOTMto. . . . VH1M&lt; La... VlUaaovaCl.. Viaa Dr B.... VtMft W.... VlrKtata ft... G l mmoor Dr Qaadatl La . Oaaaa. Oordoe ft..... Graaftw* A. Or*M At FORT COLLINS FEDERAL SAVINGS 6 LOAN ASSN. MtertMNL RoUlNB Wood ua . RrmaawB Ar",,specm_foco_1900_002.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/115,115,116.jpg,/p17393coll70/image/116.jpg
,not map,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,,,https://archives.mountainscholar.org/iiif/2/p17393coll70:116/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:116/info.json,,,"City of Fort Collins, Colorado",,"Rocky Mountain Directory Company, publisher",,,,,,,,,,Fort Collins (Colo.),,,,,,,,,,,,1960s?,,,,,1960; 1961; 1962; 1963; 1964; 1965; 1966; 1967; 1968; 1969,A map of Fort Collins with a list of the city&#x27;s schools and a directory of streets.,,,,,,Fort Collins (Colo.) -- Maps,,English,eng,,maps (documents),12 x 17 inches,StillImage,,Special Collections Maps,,,,Colorado State University. Libraries,"Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,This Item is protected by copyright and/or related rights (https://rightsstatements.org/vocab/InC/1.0/). You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,specm_foco_1900,,,,https://hdl.handle.net/10217/02.0043567,G4314.F67 1900z .R645; Catalog record number (MMS ID): 991024694849703361,,,,,,,,,,,,index.cpd,,6/11/25,7/20/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/116,116,117.cpd,/p17393coll70/supp/116/index.pdf
,out of range,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,"Utah, wrong state",,https://archives.mountainscholar.org/iiif/2/p17393coll70:117/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:117/info.json,,,specm_stansbury_1850_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Â©MAT SAM1 LAKE sÂ»"" /â– ? under the orders of A HE It'I. Ih.-r ,r n... T.q.-en.,'., ,i Herren, IIOWMtO STA5XHI HY â– ",,specm_stansbury_1850_001.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/117,117,118.jpg,/p17393coll70/image/118.jpg
,out of range,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,"Utah, wrong state",,https://archives.mountainscholar.org/iiif/2/p17393coll70:118/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:118/info.json,,,specm_stansbury_1850_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,specm_stansbury_1850_002.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/118,118,119.jpg,/p17393coll70/image/119.jpg
,not map,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,,,https://archives.mountainscholar.org/iiif/2/p17393coll70:119/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:119/info.json,,,specm_stansbury_1850_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,â€˜Ph?- iiyfcSSJ^f-it i r:^ *Q â€¢ Â® ..â€¢MAyge STANSIltoâ€™S EXPEDITION ' -iLl : fc -7; : 1 :7i IÂ® â–  I t â– V hl 'â€¢'.â€™ 'â–  â– . â–  : 'â€˜.y -:: â€¢ :i.â€˜ h7;. 'â–  '.; â–  / 7 â€˜r-: IfK' . â–  â– â– ,,specm_stansbury_1850_003.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/119,119,120.jpg,/p17393coll70/image/120.jpg
,not map,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,,,https://archives.mountainscholar.org/iiif/2/p17393coll70:120/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:120/info.json,,,specm_stansbury_1850_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,â– â– j v-e if,,specm_stansbury_1850_004.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/120,120,121.jpg,/p17393coll70/image/121.jpg
,out of range,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,,,https://archives.mountainscholar.org/iiif/2/p17393coll70:121/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:121/info.json,,,Maps [from] Stansbury&#x27;s report,Maps from Stansbury&#x27;s report; Map of a reconnoissance between Fort Leavenworth on the Missouri River and the Great Salt Lake in the Territory of Utah; Map of the Great Salt Lake and adjacent country in the Territory of Utah.,"Stansbury, Howard, 1806-1863, mapmaker; Abert, John James, 1788-1863, mapmaker; Gunnison, J. W. (John Williams), 1812-1853, mapmaker; Preuss, Charles, 1803-1854, mapmaker; Carrington, Albert, mapmaker; United States. Army. Corps of Topographical Engineers, publisher",,,,,,,,,,Great Salt Lake (Utah); Utah; West (U.S.); Missouri River,,,,,,,,,,,,1850s,,,,,1850; 1851; 1852; 1853; 1854; 1855; 1856; 1857; 1858; 1859,Two folded maps in one volume: 1. Map of a reconnoissance between Fort Leavenworth on the Missouri River and the Great Salt Lake in the Territory of Utah; 2. Map of the Great Salt Lake and adjacent country in the Territory of Utah.,,,,,,Stansbury Expedition (1849-1850); Stansbury Expedition (1849-1850) -- Maps; Great Salt Lake (Utah) -- Maps; Utah -- Maps; West (U.S.) -- Maps; Missouri River -- Maps,,English,eng,,maps (documents),30 x 67 inches; 32 x 44 inches,StillImage,,Special Collections Maps,,,,Colorado State University. Libraries,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, buprojt a determination was not made as to its copyright status under the copyright laws of other countries (https://rightsstatements.org/page/NoC-US/1.0/). The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",specm_stansbury_1850,,,,https://hdl.handle.net/10217/02.0043568,G4340.U55 1850; Catalog record number (MMS ID): 991031503839503361,,,,,,,,,,,,index.cpd,,6/11/25,7/20/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/121,121,122.cpd,/p17393coll70/supp/121/index.pdf
,skip,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,duplicate,,https://archives.mountainscholar.org/iiif/2/p17393coll70:122/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:122/info.json,,,specm_dakota_1882_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cities, Tbwns standard â– tmt-m-J-. \^nUtopet. IS1!1 Standard, 'Stmtt'L. TION' jvenjon .Standard I?//;, 'ifiddtt I .ndard Stand and 1868 NC'^&gt;0 Bennett - of Congress Febâ€™ FiGeorge .Rosel DEPARTMENT OE THE INTERIOR Rail Road Limits Military Reservations Boundary of Counties Jndian Reservations Rail Roads Completed ule Citx-Q â€”4 L- â– Vâ€™ 'ttulMelon iired \ S&gt;Z. sJa""'rjL references @ Surveyor Generals Office Â© Land Office pTj Townships Subdivided &lt;Â») County Seals Standard 1 'Parallel ' / \ â–  . 1101 StSda^&gt;wallel\ ,6^ frrinjp s/ Con&rw Fob. 28 l/^ - LUGE N.^bâ€™^E^E EfcTl â€¢ TERRITORY of DAKOTA. Scale 18 Miles to 1 inch. NEB R A 1882. (â€˜umpiled from the official Reconls of the General Lund Offtco and other sources by C. RO E SER, Jhâ€™napatDratH/Ataman GX.O. HwU tCWfi/fMeHac, X.Y 11 y it LongitudeIfcsl 2B"" I from Washington Joi",,specm_dakota_1882_01.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/122,122,123.jpg,/p17393coll70/image/123.jpg
,out of range,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,cool map,,https://archives.mountainscholar.org/iiif/2/p17393coll70:123/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:123/info.json,,,Territory of Dakota,Indian Territory,"Roeser, C., mapmaker; Bien, Julius, publisher; United States. General Land Office, publisher",,,,,,,,,,Oklahoma,,,,,,,,,,,,1882,,,,,1882,,,,,,,Oklahoma -- Maps,,English,eng,,maps (documents),27 x 34 inches,StillImage,,Special Collections Maps,,,,Colorado State University. Libraries,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, buprojt a determination was not made as to its copyright status under the copyright laws of other countries (https://rightsstatements.org/page/NoC-US/1.0/). The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",specm_dakota_1882,,,,https://hdl.handle.net/10217/02.0043569,G4020 1885 .U5; Catalog record number (MMS ID): 991022613119703361,,,,,,,,,,,,index.cpd,,6/11/25,7/20/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/123,123,124.cpd,/p17393coll70/supp/123/index.pdf
,skip,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,duplicate,,https://archives.mountainscholar.org/iiif/2/p17393coll70:124/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:124/info.json,,,specm_CBTlayout_1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R.12W. \ R.13W. Siers R.15W, R19W R.80W. CACHE Glen Echo Home 8 n kittle Larand Owl River Wive. .Mt Richthofen Glen Haven RAND Bighorn M '^MILNER // nÂ»tc .STES wood Mt Ida HvanmrPk. Sheep Mt. Â® LonfcsPeak LYONS North &gt;) Searight Mt. ^LONGMON^ Stillwater RaymordS^ Dexter ree. Altona â€¢â€¢Jamestown 0Â£AVÂ£R PCS. Glendale Windy GRAN Rowena A'illow Ward TJ.N Polo COTTONWOOD PASS MLIN -fershalL Loaf Arapaho Pk BOULDER Lafayette LINE TABERNASH BASE LBotU* Caribo Marshall Nederland Sheep Mt. Fraser Eldora ecliffe. Eldorado Sp Corona IWondervU' Rollinsville. Tolland evERS n.s. Apex BotLasn, Byers 043H 19)6 OMMLNDC.D APPROVED CENTRAL CITY Blackhawk 245-D U9L Leal Allens Park SUPPLY CANAL I6H AES. SHADOW MTN. SUBSTATION â€¢. Peaceful ^Valley POUDRE SUPPLY CANAL â€˜ POUDR SUPPL CANAL TROUBLESOME SUBSTATION fonarch Lake SYLVAN RES. GRANBY SUBSTATION FRASER RIV. DIVERSIONS KA ROSE RESOfTf BARKER RES. BASELINE RES. GRAND R. DITCH POUDRE VALLEY CANAL - INLETS TUNNEL SHEEP CR. . RES. POWER PLANT No.2 CARTER LAKE DIVERSION DAM Junction Butte POWER PLANT. No. 3 DIVERSION -'DAM IN BIG THOMPSON ARKINS RESERVOIR CAP. 50.000 A.F PUMPING {PLANT* LA POUDRE . PASS GRANBY RESERVOIR CAP. â€¢Â» 8 2,000AE , cilsdnite R.S. GRANBY DAM n^GREULY 2&gt; Mb LOVELAND LOVELAND TAP ST. VRAIN SUPPLY CANAL COMANCHE PÂ£$- GREEN MTN. DAM SUBSTATION DIVERSION K DAM. BUCHANAN\ L PASS LONG DRAW RES. BUREAU OF RECLAMATION POWER PLANT NoA WEST PORTAL SUpSTATION GRAND : LAKE j.7 DEPARTMENT OF THE INTERIOR â€˜Grand SURFACE AREA \ SOI ACRES \ NORTH FORK â€¢DIVERSION DAM[^_ SHADOW MTN. CAMP ^DUTLEfn^iG : THOMPSON TRACED W. M.S ^Afp0^Â£Â° ! G J L COLORADO - BIG THOMPSON PROJECT â€¢wty E.Portal IMOFFAT TUNNEL AND PIONEER J BORE FOR DENVER WATER SUPPLY IOT SULPHUR ^SPRINGS RANCH CREEK RESERVOIR CAP. IO,000&lt;A.F- PUBLIC SERVICE CO.- POWER plant \ /Hiqktor Lakefia Testes park headquarte Strawberry Lake PROPOSED^J^^ NEW ROADjT / LOCATION IISK.V. TRANS' MISSION LINE FROM PUBLIC ...qH SERVICE CO. AT roumesome GRANBY RES. \ K SUPPLY CANAL \ 6? Charnbe Lake ^7Echo Lake ' HOT SULPHUR SPRINGS. ' SUBSTATION % L*nTNo.S- BERTHOUD PASS HORSETOOTH RESERVOIR. p- 96.000A.F. , cru^^rbivERSio DAM DRAWN W.M.S HjJ J--POWER PLANT No. I ESTES PARK""\ T * wovetesd^ i â€¢J AlÂ£? HaHet â€¢ , Peak | GREEN MTN. RESERVOIR â–  RÂ£r^*CÂ£MÂ£sâ€™ - .H00OA.E. SHADOW V &gt; MOUNTAIN LAKE \ 1 SURFACE AREA-13S6 ACRES . ; I \ '.Columbine x. \ Lake Sunset EAST PORTA\S aJP SUBSTATION/ ano/Powep div. dam EXPLANATION ==( Tunnel- â– &lt; Closed conddit ~ Open canal â–  == â€¢ 'Aâ€” / TreJSi&sion line ^RrÂ£c^5Â£8Â«fi$ervoir CARTER LAKE RESERVOIR CAP. 110,000A F. LOVELAND Â«Â£sillBerfroad Champion",,specm_CBTlayout_1936.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/124,124,125.jpg,/p17393coll70/image/125.jpg
Bronson,complete,,,,,https://archives.mountainscholar.org/iiif/2/p17393coll70:125/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:125/info.json,https://annotations.allmaps.org/images/e45db86557876081,https://allmaps.xyz/images/e45db86557876081/{z}/{x}/{y}@2x.png,Colorado-Big Thompson project: general layout (proposed),,"Unidentified mapmaker &quot;W.B.S.&quot;; United States. Bureau of Reclamation, publisher",,,,,,,,,,Colorado,,,,,,,,,,,,1936,,,,,1936,,,,,,,Colorado-Big Thompson Project (U.S.); Colorado-Big Thompson Project (U.S.) -- Maps; Colorado -- Maps,,English,eng,,maps (documents),32 x 38 inches,StillImage,,Special Collections Maps,,,,Colorado State University. Libraries,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, buprojt a determination was not made as to its copyright status under the copyright laws of other countries (https://rightsstatements.org/page/NoC-US/1.0/). The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",specm_CBTlayout_1936,,,,https://hdl.handle.net/10217/02.0043570,G4311.J4 1936 .U56; Catalog record number (MMS ID): 991019194529703361,,,,,,,,,,,,index.cpd,,6/11/25,7/20/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/125,125,126.cpd,/p17393coll70/supp/125/index.pdf
,skip,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll71,duplicate,,https://archives.mountainscholar.org/iiif/2/p17393coll71:126/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll71:126/info.json,,,specm_businessdir_1881_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GbocehieS Eâ„¢ro# WibrCmertiaF IRY SOODS, 6ARPETS, Jay H. Boughton Go. 'PRINTERS GRAIN STORAGE! 1881 FORT COLLINS OtowrJeta&Mea Streets. BUSINESS DIRECTORY ile dsPublisli e d rÂ£. CORBl^ *BOARD Of TRADE-* Sycamore SALOM. Evans & McEwen, FOUNDRY Â§ MACHINE SHOP Alâ€™,HU THS SX?RÂ»SS CHTHST. SCHMIITZ, .LEGE STATE AGi Scott & Kissock. V^FORT COLLIHS WUKLY COURIER? REAL ESTATE BROKERS^ Olive ,d TAÂ« GROCERIE S tolia -l-Bilt fOMMK * Mulber Mulberry Dry Goods, Clothing, Boots, Shoes, DOHTSACTOM &BXIH1DEH. Laurel Plum Cottonwood Locuit LIVERY KEITEL Elizabeth Garfield Mucky Whiskey Depot COMMERCIAL HOTEL H. P. HANDY, 4ftarg ^oiicollc, CITY DRUG STORE. PARLOR DRUGSTORE Groceries, Fresh Fruit, Produce, SalisfactiraiBCuttiiii&FittiiiiGaaraatteJ. Uioolts and $tatioi|crtt. EIEE INSURANCE AGENCY jtfEST & BRANNj H. E. TEDMON, ft P. PADL & CO, Â«Â»LLH&gt;S nWVO STOBfi Librarianâ€™s off. library of tlje JState ^grtculhtral College FARM MACHINERY. GRAIN and COAL. 'WbÂ».'. dbtbt. IMER & ABBOTTâ€™! WENOE GROCERY,. &lt; FORT COLLINS, COEO, Va HEARS TOBACCOS EE fe Ei S3 Â® Pitkin Sl * JB '""il s I ie Â£ ::2 &lt;5 3 Ilil+i",,specm_businessdir_1881_01.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/126,126,127.jpg,/p17393coll70/image/127.jpg
,not map,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,,,https://archives.mountainscholar.org/iiif/2/p17393coll70:127/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:127/info.json,,,specm_businessdir_1881_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G43 I 4 F67 1881 037 SPECIAL r i ft; * it n. I; 1 II ri fi .â€™ iâ€™. h 4'. g I I M if' -,,specm_businessdir_1881_02.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/127,127,128.jpg,/p17393coll70/image/128.jpg
Kasper,complete,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,cool map,,https://archives.mountainscholar.org/iiif/2/p17393coll70:128/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:128/info.json,https://annotations.allmaps.org/images/eb4893e772e3a935,https://allmaps.xyz/images/eb4893e772e3a935/{z}/{x}/{y}@2x.png,Map of the city of Fort Collins and business directory,,"Dastarac, P (Pierre), 1827-1913, mapmaker; Handy, H. P., mapmaker",,,,,,,,,,Fort Collins (Colo.),,,,,,,,,,,,1881,,,,,1881,,,,,,,Fort Collins (Colo.) -- Maps,,English,eng,,maps (documents),37 x 46 inches,StillImage,,Special Collections Maps,,,,Colorado State University. Libraries,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, buprojt a determination was not made as to its copyright status under the copyright laws of other countries (https://rightsstatements.org/page/NoC-US/1.0/). The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",specm_businessdir_1881,,,,https://hdl.handle.net/10217/02.0043571,G4314.F67 1881 D37; Catalog record number (MMS ID): 991025842329703361,,,,,,,,,,,,index.cpd,,6/11/25,7/20/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/128,128,129.cpd,/p17393coll70/supp/128/index.pdf
,skip,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,duplicate,,https://archives.mountainscholar.org/iiif/2/p17393coll70:129/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:129/info.json,,,specm_westerndiv_1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"â– AS' OITO STATZS O I 'i i SS 7- Â£â–  'jr' r â– ' / /Â°/ a&gt;4L /^aSsaSFw- w\- ^~r- ''""' ' '7 â€˜V7 Â°.Â«A. ft",,specm_westerndiv_1870.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/129,129,130.jpg,/p17393coll70/image/130.jpg
,,,,maybe,,https://archives.mountainscholar.org/iiif/2/p17393coll70:130/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:130/info.json,,,Western division of the United States,,Unidentified mapmaker,,,,,,,,,,West (U.S.),,,,,,,,,,,,1870s?,,,,,1870; 1871; 1872; 1873; 1874; 1875; 1876; 1877; 1878; 1879,A map of the western United States predating the statehood of Oklahoma and including &quot;Lower or Old California.&quot;,,,,,,West (U.S.) -- Maps,,English,eng,,maps (documents),10 x 12 inches,StillImage,,Special Collections Maps,,,,Colorado State University. Libraries,"Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://libguides.colostate.edu/copyright.",,,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, buprojt a determination was not made as to its copyright status under the copyright laws of other countries (https://rightsstatements.org/page/NoC-US/1.0/). The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",specm_westerndiv_1870,,,,https://hdl.handle.net/10217/02.0043572,G4050 1870 .W4; Catalog record number (MMS ID): 991023012689703361,,,,,,,,,,,,index.cpd,,6/11/25,7/20/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/130,130,131.cpd,/p17393coll70/supp/130/index.pdf
