By,"Status (complete, in progress, out of range, not map)",Notes,is_map,root_url,collection,thumbnail,Thumb,IIIF,georeference,Georeference Annotation,local_annotation,XYZ map tiles,Category,Keywords,Scale,Title,Alternate Title,Creator,Contributor,Artist,Author,Composer,Editor,Lyricist,Producer,Publisher,Coverage,Spatial Coverage,Temporal Coverage,Latitude,Longitude,Bounding Box,External Reference,Advisor,Committee Member,Degree Name,Degree Level,Department,University,Date,Date Created,Date Issued,Date Recorded,Date Submitted,Date Search,Description,Abstract,Award,Frequency,Sponsorship,Table of Contents,Subject,LCSH Subject,Language,Language-ISO,Format,Medium,Extent,Type,Source,Digital Collection,Physical Collection,Series/Location,Subcollection,Repository,Rights,Rights Note,Rights License,Rights URI,Rights DPLA,Identifier,Citation,DOI,ISBN,Permanent Identifier,Related Resource,Relation-Has Format Of,Relation-Has Part,Relation-Has Version,Relation-Is Format Of,Relation-Is Referenced By,Relation-Is Replaced By,Relation-Is Version Of,Relation-References,Relation-Replaces,Transcript,Path,File Name,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path,children,id,geojson,latitude,longitude,area
Violet,complete,,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/397/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:397/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:397/info.json,https://annotations.allmaps.org/images/25962f9b51e6b2e1,annotations/25962f9b51e6b2e1.json,https://allmaps.xyz/images/25962f9b51e6b2e1/{z}/{x}/{y}@2x.png,"historic, elevation, transportation, inlandWaters","roads, handDrawn",County,specm_redfeather_1900_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60001 7&lt;CO| â– &lt;V1 73 80 Joveli Cntu I'lnfG an; 7ttWj w. unpin*' 197 ierce J!/Â®?. & ilk I? cor t o o V M4UXI CtJ u' ^Ni-Wot r sow s;-? lOflâ€™o S 1 Johnsa Ml \J I Jf^ndr Ov^i' VCJisL'ty SidifnÂ£ j 6G 5f Brithl r (Hu&ht 5021 â€˜ / *â€™C A7M H , Bbrftmqfm fir-- ; a 1 oÂ« Mi",,specm_redfeather_1900_003.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/397,397,398.jpg,/p17393coll70/image/398.jpg,,p17393coll70-397,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""@context"": ""https://schemas.allmaps.org/map/2/context.json"", ""id"": ""https://annotations.allmaps.org/maps/75abd3efc253fb5e"", ""type"": ""GeoreferencedMap"", ""created"": ""2025-09-25T19:42:12.093Z"", ""modified"": ""2025-09-25T19:42:12.093Z"", ""resource"": {""id"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:397"", ""uri"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:397"", ""type"": ""ImageService2"", ""width"": 2469, ""height"": 3000}, ""gcps"": [{""id"": ""6cb0d365b72553f5"", ""index"": 1.7730351617273001, ""resource"": [1045, 2849], ""geo"": [-105.7214732, 39.6970991]}, {""id"": ""c3e6deb9a3ad4419"", ""index"": 0.04488859468741724, ""resource"": [2092, 2721], ""geo"": [-104.9891727, 39.7800387]}, {""id"": ""d5e4a768b2f316b0"", ""index"": 2.217512822681231, ""resource"": [332, 1016], ""geo"": [-106.2808312, 40.7315486]}, {""id"": ""9911da483768abec"", ""index"": 3.7692395351850347, ""resource"": [2222, 540], ""geo"": [-104.9066505, 40.9982736]}], ""resourceMask"": [[74, 355], [33, 2934], [2402, 2943], [2425, 348]], ""transformation"": {""type"": ""polynomial"", ""options"": {""order"": 1}}, ""_allmaps"": {""id"": ""https://annotations.allmaps.org/maps/75abd3efc253fb5e"", ""version"": ""https://annotations.allmaps.org/maps/75abd3efc253fb5e@691290a1cd3b6eec"", ""image"": {""id"": ""https://annotations.allmaps.org/images/25962f9b51e6b2e1"", ""version"": ""https://annotations.allmaps.org/images/25962f9b51e6b2e1@96967c9d58dd126a"", ""canvases"": []}, ""scale"": 0.016157, ""area"": 23388983291.43}}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-106.469510845, 41.099532622], [-106.464858324, 39.651611423], [-104.75046062, 39.651885374], [-104.768351397, 41.108748367], [-106.469510845, 41.099532622]]]}}]}",40.37701362,-105.6124083,40351.70027
,,just corner of map,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/398/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:398/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:398/info.json,,,,historic,,,specm_redfeather_1900_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,specm_redfeather_1900_004.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/398,398,399.jpg,/p17393coll70/image/399.jpg,,p17393coll70-398,,,,
Violet,complete,slightly off,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/399/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:399/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:399/info.json,https://annotations.allmaps.org/images/e42553423570c02f,annotations/e42553423570c02f.json,https://allmaps.xyz/images/e42553423570c02f/{z}/{x}/{y}@2x.png,"historic, elevation, transportation, inlandWaters","roads, handDrawn",County,specm_redfeather_1900_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"808 CHEYENNE 60801 7^o{ D. Carr dih &gt;â™¦77 ri ton faary* R. Wljiborm La Sall i lardin CoJon uni\Uke 'Hip hl an a Lake Had IVlIa Johnson BurU -w CÂ«3!li -&fyagnol/a Wrth nt Piaffe Summ.^ id S(a myviUtâ€™ hKU| Â«QmQ| SidruY/h', rBertfioi id |5(HI8 J SI;/ nerce ^510L ' ffNanU'H rd rf/s! Vr^in &lt; 3 Brifchfqi r fHuth 5021 llnn^ â€™r-)",,specm_redfeather_1900_005.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/399,399,400.jpg,/p17393coll70/image/400.jpg,,p17393coll70-399,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""@context"": ""https://schemas.allmaps.org/map/2/context.json"", ""id"": ""https://annotations.allmaps.org/maps/1adb7b65b76e2302"", ""type"": ""GeoreferencedMap"", ""created"": ""2025-09-25T20:06:27.670Z"", ""modified"": ""2025-09-25T20:06:27.670Z"", ""resource"": {""id"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:399"", ""uri"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:399"", ""type"": ""ImageService2"", ""width"": 2461, ""height"": 3000}, ""gcps"": [{""id"": ""1adf64c8dc708f22"", ""index"": 1.9460438152256097, ""resource"": [560, 2856], ""geo"": [-105.6265342, 39.7662749]}, {""id"": ""3ec895b94c88a358"", ""index"": 0.25702200533972686, ""resource"": [1971, 2891], ""geo"": [-104.6030303, 39.7399512]}, {""id"": ""acd273ac4fa420d5"", ""index"": 2.6257313442087042, ""resource"": [1620, 644], ""geo"": [-104.869303, 40.998138]}, {""id"": ""1a514fadcccfc4d0"", ""index"": 3.437864809313538, ""resource"": [914, 495], ""geo"": [-105.3497178, 41.0982628]}], ""resourceMask"": [[48, 459], [2369, 461], [2411, 2956], [90, 2944]], ""transformation"": {""type"": ""polynomial"", ""options"": {""order"": 1}}, ""_allmaps"": {""id"": ""https://annotations.allmaps.org/maps/1adb7b65b76e2302"", ""version"": ""https://annotations.allmaps.org/maps/1adb7b65b76e2302@e55d6e22ab19b3fb"", ""image"": {""id"": ""https://annotations.allmaps.org/images/e42553423570c02f"", ""version"": ""https://annotations.allmaps.org/images/e42553423570c02f@2ddcf08c0871f071"", ""canvases"": []}, ""scale"": 0.016228, ""area"": 21943061077.81}}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-105.982349358, 41.120721308], [-105.957555803, 39.723205958], [-104.294547506, 39.696952538], [-104.319319733, 41.100090272], [-105.982349358, 41.120721308]]]}}]}",40.41024315,-105.1378867,37893.20945
,,corner of map,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/400/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:400/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:400/info.json,,,,historic,,,specm_redfeather_1900_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hardin 2,,specm_redfeather_1900_006.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/400,400,401.jpg,/p17393coll70/image/401.jpg,,p17393coll70-400,,,,
,,Not PLSS. I tried but I don't think this map makes any sense - Kasper,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/401/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:401/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:401/info.json,,,,historic,,,specm_redfeather_1900_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liOX 3/ n A- \ â–  \ J- V o X. g s S,,specm_redfeather_1900_007.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/401,401,402.jpg,/p17393coll70/image/402.jpg,,p17393coll70-401,,,,
,,not a map,,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/402/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:402/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:402/info.json,,,,historic,,,specm_redfeather_1900_008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,") , fa- 35^ &gt; *+",,specm_redfeather_1900_008.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/402,402,403.jpg,/p17393coll70/image/403.jpg,,p17393coll70-402,,,,
Violet,Complete,"slightly off, has been really hard to get completely correct",y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/403/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:403/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:403/info.json,https://annotations.allmaps.org/images/c733c6dac975ba8e,annotations/c733c6dac975ba8e.json,https://allmaps.xyz/images/c733c6dac975ba8e/{z}/{x}/{y}@2x.png,"historic, elevation, transportation, inlandWaters",roads,,specm_redfeather_1900_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fr r Gf^ rutych Z1 ^5V X. -xAJ 15k \ v .-tfL\ X â€™ ""v\ ) ^gi&lt;Â»a VÂ« \Box v_l\ ""dQ X K Trec6 w jaS 3wz&lt;^j fill Fife &gt;&lt;/tfare&lt;oW/Â»&lt; a Mt J wi/ !Â§l â€™%Â£""*** â– ^r A? X/ Cy] flT~V V; -ELslf (&gt;' i '4rci&gt;&gt;y&lt; A i rw W\ 1 | J jdg6/&lt; \\X VW XJ ria nd HÂ°rs/ / II * vleP. \ \ X^'-- /*â€™â€™*â–  2w&lt;x^ ' ""Xfâ€”\ â€™â€œ â€™ yH &lt;W:j&gt; ; OA) Â®Â» v*? J\^/// (gj no B$e 7? TIN X -QJfk ) â– J$&gt; Wald tial&ZfV vcA xxX pfe Â»^Ws Sri// /5/ \&gt;L&lt;' JJIIb f &gt;!Â»i } - â€” .^1 g. Â£ rXVfryj haHanjf =Z^jRu6t * 'X 1 ^CgX, ' 1 \X' r rmork\ . fe/x ^1 ristol Xâ€”&lt; HDf r k J li â€¢ JgggjM w 1 3h ^RrV^? ill?A gg^7&gt;-â€” lll^ SFfet^J LO PASS ~ \ 1 I X A*A r r**_xlTÂ£&gt; LAKS J z/y7? \jwHebroÂ» Tz //o] /r7O T^ f Ha X&- â–  \*â€œ â€™85* &lt;* T^jÂ® \\^ A nCpCh Ss Bl /5- w WtÂ£Â£&gt;^&gt;Z-/ fe fetf ' SMt X^/ . BelTevuV j Sv %A 1 w \ ^LaPÂ°\ Va^/i â€¢ jK -t 1 JOLlk; ^3â€™inijmti ^^Sfs'ambo p^-X|j M .â– W \j f&lt; \Ay/l n â€”-Â£iâ€” TffeS Hf//^ t for/ Mjj \\N 2K?m'Zvi |tÂ§. &lt;- ~ ^Ssl ..^ HelfeS^P*1 Mt â€¢^^IW! x-^'- Xj'.'*^^; ' J B^x ///-^ &lt; * X* x â€™ M^n 1 ArkiX A HX C ni Vd \ I &lt;srgwj Â«a r&gt;!^6Â«fel HftJ M v â– *tfe^y ^Aoil JoS wMWl rfm ^Aer^3k F \^er Bs &gt; &gt;â– &gt; ?w Ous &gt;&gt;^L inewool^x Winona^ (ovel â€¢ nd : _1 Â»â€™r*!f K Q-\Â£r \F &gt; jupnnuwui . ffipl r^' I Ck ME/ Mt Iw â€¢&fc ""//nlu;X\v ***'*^â€™1 riw o &gt;^cb/?e 9q\^ T-â€™-^i 1 5I a *1 / 11 Ji Z_^JÂ«I T â€¢ 1â€” ud ' 'â– *â€œ",,specm_redfeather_1900_009.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/403,403,404.jpg,/p17393coll70/image/404.jpg,,p17393coll70-403,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""@context"": ""https://schemas.allmaps.org/map/2/context.json"", ""id"": ""https://annotations.allmaps.org/maps/3f63498cf7be601c"", ""type"": ""GeoreferencedMap"", ""created"": ""2025-09-30T19:22:55.798Z"", ""modified"": ""2025-09-30T19:22:55.798Z"", ""resource"": {""id"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:403"", ""uri"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:403"", ""type"": ""ImageService2"", ""width"": 3000, ""height"": 2149}, ""gcps"": [{""id"": ""00899eb71f0690f2"", ""index"": 0.23848992382910916, ""resource"": [2374, 931], ""geo"": [-105.2243752, 40.7978109]}, {""id"": ""056e8f2c067ab899"", ""index"": 4.26259348435667, ""resource"": [2411, 726], ""geo"": [-105.1731078, 40.9368209]}, {""id"": ""9b59cd981592bc06"", ""index"": 1.1208019126386488, ""resource"": [2635, 1782], ""geo"": [-105.0737452, 40.2895288]}, {""id"": ""a636cbbdd9545d81"", ""index"": 2.0052019519308186, ""resource"": [217, 1406], ""geo"": [-106.8418218, 40.4887622]}, {""id"": ""b95a7c41be01d1fa"", ""index"": 3.539595279366446, ""resource"": [983, 1040], ""geo"": [-106.2903503, 40.7259813]}, {""id"": ""f346bae6f4f96a11"", ""index"": 5.4243802073764265, ""resource"": [2627, 1264], ""geo"": [-105.0769888, 40.581444]}], ""resourceMask"": [[168, 497], [167, 1855], [2867, 1870], [2858, 492]], ""transformation"": {""type"": ""polynomial"", ""options"": {""order"": 1}}, ""_allmaps"": {""id"": ""https://annotations.allmaps.org/maps/3f63498cf7be601c"", ""version"": ""https://annotations.allmaps.org/maps/3f63498cf7be601c@16fcada44e19bf97"", ""image"": {""id"": ""https://annotations.allmaps.org/images/c733c6dac975ba8e"", ""version"": ""https://annotations.allmaps.org/images/c733c6dac975ba8e@60fcaaa38f3c6bb5"", ""canvases"": []}, ""scale"": 0.015275, ""area"": 15801532863.67}}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-106.843352486, 41.050195091], [-106.916799652, 40.214863978], [-104.912757463, 40.227353379], [-104.845664889, 41.074906316], [-106.843352486, 41.050195091]]]}}]}",40.64159367,-105.8772298,27474.60532
Violet,in progress,slightly off and faded ,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/404/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:404/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:404/info.json,https://annotations.allmaps.org/images/509cf204b55a6497,annotations/509cf204b55a6497.json,https://allmaps.xyz/images/509cf204b55a6497/{z}/{x}/{y}@2x.png,"historic, elevation, transportation, inlandWaters","roads, handDrawn",County,specm_redfeather_1900_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ilduiu? BiiUc i I' ^ZTsttâ€™Esies WK1 1R O THE F ' ;\â€˜r; â€¢ -r:'&lt; ^r~! ILINS EXPRESS, For! Collins, Colo. â–  V i r LV : FsfcsCc^.-&lt;- Sai 7Kâ€™&lt;&gt;s",,specm_redfeather_1900_010.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/404,404,405.jpg,/p17393coll70/image/405.jpg,,p17393coll70-404,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""@context"": ""https://schemas.allmaps.org/map/2/context.json"", ""id"": ""https://annotations.allmaps.org/maps/2a25b54411adbe70"", ""type"": ""GeoreferencedMap"", ""created"": ""2025-09-30T19:41:01.546Z"", ""modified"": ""2025-09-30T19:41:01.546Z"", ""resource"": {""id"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:404"", ""uri"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:404"", ""type"": ""ImageService2"", ""width"": 3000, ""height"": 1744}, ""gcps"": [{""id"": ""5dfedb5ddcd559af"", ""index"": 3.679905469620201, ""resource"": [787, 1157], ""geo"": [-106.1768075, 40.4624157]}, {""id"": ""a58640104c626826"", ""index"": 2.8423937907503674, ""resource"": [579, 503], ""geo"": [-106.2820333, 40.73018]}, {""id"": ""d0bf3b76ce43864c"", ""index"": 1.0609253976125574, ""resource"": [2745, 533], ""geo"": [-105.0088597, 40.699824]}, {""id"": ""f122173f5b550540"", ""index"": 0.5739701271167807, ""resource"": [1877, 1255], ""geo"": [-105.5177008, 40.3776246]}, {""id"": ""a432dde1921a4118"", ""index"": 4.997857668722662, ""resource"": [2634, 802], ""geo"": [-105.0767438, 40.5922815]}], ""resourceMask"": [[93, 95], [98, 1622], [2925, 1612], [2932, 108]], ""transformation"": {""type"": ""polynomial"", ""options"": {""order"": 1}}, ""_allmaps"": {""id"": ""https://annotations.allmaps.org/maps/2a25b54411adbe70"", ""version"": ""https://annotations.allmaps.org/maps/2a25b54411adbe70@6edc1e4e5bef1e51"", ""image"": {""id"": ""https://annotations.allmaps.org/images/509cf204b55a6497"", ""version"": ""https://annotations.allmaps.org/images/509cf204b55a6497@a507c49fee0123ad"", ""canvases"": []}, ""scale"": 0.020268, ""area"": 10451083191.29}}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-106.570007486, 40.921134488], [-106.579631645, 40.252207926], [-104.90941597, 40.225471438], [-104.892891912, 40.88419123], [-106.570007486, 40.921134488]]]}}]}",40.57102614,-105.7400982,18132.02341
,claim?,,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/405/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:405/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:405/info.json,,,,historic,,,specm_redfeather_1900_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEENGINEEIgS OFFICE, DeN~7E",,specm_redfeather_1900_011.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/405,405,406.jpg,/p17393coll70/image/406.jpg,,p17393coll70-405,,,,
,claim?,,y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/406/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:406/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:406/info.json,,,,historic,,,specm_redfeather_1900_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,specm_redfeather_1900_012.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/406,406,407.jpg,/p17393coll70/image/407.jpg,,p17393coll70-406,,,,
Bronson /Cy,in progress,"Bronson - 2 out of 3 points down needed
Cy - attempted, not sure if it fits or not",y,https://archives.mountainscholar.org/digital/api/singleitem/collection/,p17393coll70,https://archives.mountainscholar.org/digital/api/singleitem/collection/p17393coll70/id/407/thumbnail,,https://archives.mountainscholar.org/iiif/2/p17393coll70:407/info.json,https://editor.allmaps.org/#/collection?url=https://archives.mountainscholar.org/iiif/2/p17393coll70:407/info.json,https://annotations.allmaps.org/images/cc6beb412a90b9e7,annotations/cc6beb412a90b9e7.json,https://allmaps.xyz/images/cc6beb412a90b9e7/{z}/{x}/{y}@2x.png,"historic, transportation, planningCadastre, inlandWaters","plss, roads, railways, handDrawn",City,specm_redfeather_1900_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R 7a w 10 PARK 30 30 33 31 36 NATIONAL FOREST 20 30 30 cr M â€¢ Off $Â»tÂ« Flah Hatch* ry 4Â«Â» 35 ra a r J: â€¢s Bra. 3 1*0 IB W f OÂ»b*rt) M Go/^Â»borÂ»i&gt;y* 13 640 RED FEATMtH . LJ^KEB fl A P RAIRIE IVlitE M rooseveLt Lort Lak* &lt;,,specm_redfeather_1900_013.jpg,,6/11/25,6/11/25,http://cdm17393.contentdm.oclc.org/cdm/ref/collection/p17393coll70/id/407,407,408.jpg,/p17393coll70/image/408.jpg,,p17393coll70-407,"{""type"": ""FeatureCollection"", ""features"": [{""type"": ""Feature"", ""properties"": {""@context"": ""https://schemas.allmaps.org/map/2/context.json"", ""id"": ""https://annotations.allmaps.org/maps/58115a81dbb65c1f"", ""type"": ""GeoreferencedMap"", ""created"": ""2025-11-07T19:54:00.115Z"", ""modified"": ""2025-11-07T19:54:00.115Z"", ""resource"": {""id"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:407"", ""uri"": ""https://archives.mountainscholar.org/iiif/2/p17393coll70:407"", ""type"": ""ImageService2"", ""width"": 2521, ""height"": 3000}, ""gcps"": [{""id"": ""1efe86eeca9809fb"", ""index"": 1.5235385496512994, ""resource"": [1392, 1690], ""geo"": [-105.5029505, 40.8463582]}, {""id"": ""46cc42f327016c53"", ""index"": 0.6486964405064265, ""resource"": [683, 2427], ""geo"": [-105.5742772, 40.7902912]}, {""id"": ""e21e424efe2590a1"", ""index"": 2.547105955737641, ""resource"": [160, 583], ""geo"": [-105.654389, 40.9387218]}, {""id"": ""e670ab2763d015f8"", ""index"": 4.86332656850685, ""resource"": [2389, 365], ""geo"": [-105.4151137, 40.9419988]}, {""id"": ""f297f191204aeb1e"", ""index"": 5.699551487218395, ""resource"": [2003, 604], ""geo"": [-105.4488152, 40.9269105]}], ""resourceMask"": [[127, 101], [121, 2863], [2391, 2873], [2409, 88]], ""transformation"": {""type"": ""helmert""}, ""_allmaps"": {""id"": ""https://annotations.allmaps.org/maps/58115a81dbb65c1f"", ""version"": ""https://annotations.allmaps.org/maps/58115a81dbb65c1f@1681ef36796cab14"", ""image"": {""id"": ""https://annotations.allmaps.org/images/cc6beb412a90b9e7"", ""version"": ""https://annotations.allmaps.org/images/cc6beb412a90b9e7@b9a82efc8b81e924"", ""canvases"": []}, ""scale"": 0.305452, ""area"": 67657144.67}}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-105.509798222, 40.836132797], [-105.469945738, 40.90228431], [-105.551264222, 40.949936063], [-105.590240129, 40.883735736], [-105.509798222, 40.836132797]]]}}]}",40.89304719,-105.5302496,118.5136567
